navigation_status,rate_of_turn,speed_over_ground,latitude,longitude,course_over_ground,true_heading,ts,ts_string,mmsi,protocol_trajectories
0.0,-128.0,1.1000000000000001,1.2193716666666667,103.82334,3018.0,511.0,1374481901.0,2013-07-22T16:31:41Z,525011114.0,"[32, 56, 81]"
0.0,-128.0,0.90000000000000002,1.2901066666666667,103.72549666666667,3215.0,511.0,1374488373.0,2013-07-22T18:19:33Z,525011114.0,"[26, 34, 43]"
0.0,-128.0,0.5,1.2377433333333334,103.79629333333334,1537.0,511.0,1374540786.0,2013-07-23T08:53:06Z,525011114.0,"[27, 32, 33, 48, 85, 88]"
0.0,-128.0,5.2000000000000002,1.18137,103.84927333333333,730.0,511.0,1374549939.0,2013-07-23T11:25:39Z,525011114.0,[86]
0.0,-128.0,5.2000000000000002,1.18137,103.85927333333333,730.0,511.0,1374549939.0,2013-07-23T11:25:39Z,525011114.0,[]
